date,MAS_IPSP,CC,CREEMOS,FPV,PAN_BOL,ADN,LIBRE_21,JUNTOS,VOTO_VALIDO,VOTO_BLANCO,VOTO_NULO,VOTO_EMITIDO,INSCRITOS_HABILITADOS
Invalid Date,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-18T19:36:55Z,11315,12994,1661,452,174,3,4,0,26603,198,889,27690,34800
2020-10-18T19:46:55Z,14088,17348,1941,551,190,2,3,0,34123,267,1098,35488,43276
2020-10-18T20:10:44Z,21271,28872,3507,828,292,0,0,0,54770,432,1802,57004,67886
2020-10-18T20:30:41Z,28662,40040,5198,1108,368,0,0,0,75376,580,2440,78396,93192
2020-10-18T21:10:41Z,48582,82795,12886,2303,702,2,1,0,147271,1201,5168,153640,179988
2020-10-18T21:28:35Z,61109,101328,19218,2850,840,7,2,0,185354,1474,6544,193372,224659
2020-10-18T21:48:35Z,72481,117359,28128,3289,947,12,3,0,222219,1792,7838,231849,268409
2020-10-18T22:18:34Z,91424,145095,38935,4203,1189,15,6,0,280867,2332,9967,293166,337923
2020-10-18T22:28:35Z,102357,157216,44260,4648,1315,17,7,0,309820,2597,11183,323600,373292
2020-10-18T22:48:34Z,117085,175646,50666,5287,1455,21,11,0,350171,2943,12787,365901,421557
2020-10-18T23:08:35Z,129871,191653,61763,5828,1596,22,12,0,390745,3287,14295,408327,469722
2020-10-19T00:18:36Z,184115,257140,92492,8445,2342,39,178,0,544751,4688,20292,569731,654324
2020-10-19T00:38:34Z,195265,270096,98880,8930,2480,41,180,0,575872,5015,21532,602419,690897
2020-10-19T00:48:34Z,207149,283313,104547,9450,2656,43,182,0,607340,5364,22958,635662,727810
2020-10-19T01:08:33Z,225702,300360,120651,10178,2849,43,185,0,659968,5905,24956,690829,790069
2020-10-19T01:28:34Z,241425,316821,129447,10927,3053,46,187,0,701906,6456,26941,735303,840032
2020-10-19T01:48:33Z,258919,338784,140148,11759,3269,50,189,0,753118,6922,28911,788951,899704
2020-10-19T02:18:34Z,282459,367348,159647,12723,3554,59,192,0,825982,7563,31634,865179,985049
2020-10-19T02:28:34Z,289192,375164,163854,13020,3634,60,192,0,845116,7746,32502,885364,1007748
2020-10-19T02:48:34Z,298251,383071,174870,13349,3708,62,194,0,873505,7965,33797,915267,1041454
2020-10-19T03:08:34Z,321595,409643,191581,14460,4007,67,198,0,941551,8558,36486,986595,1123153
2020-10-19T03:28:34Z,330095,421253,194731,14893,4117,71,200,0,965360,8858,37428,1011646,1151793
2020-10-19T03:48:34Z,331727,424006,194929,15029,4141,69,200,0,970101,8945,37655,1016701,1157634
2020-10-19T04:18:34Z,335823,430749,195461,15321,4192,69,200,0,981815,9115,38211,1029141,1172019
2020-10-19T04:28:34Z,335942,430990,195471,15333,4193,69,200,0,982198,9124,38223,1029545,1172459
2020-10-19T04:48:34Z,337217,434306,195774,15410,4204,69,200,0,987180,9172,38425,1034777,1178732
2020-10-19T05:08:34Z,337217,434306,195774,15410,4204,69,200,0,987180,9172,38425,1034777,1178732
2020-10-19T05:28:34Z,337217,434306,195774,15410,4204,69,200,0,987180,9172,38425,1034777,1178732
2020-10-19T05:38:34Z,337217,434306,195774,15410,4204,69,200,0,987180,9172,38425,1034777,1178732
2020-10-19T06:18:34Z,345085,440314,195983,15568,4246,69,200,0,1001465,9275,38792,1049532,1194915
2020-10-19T06:38:34Z,348836,443789,196084,15664,4279,69,200,0,1008921,9328,39019,1057268,1203433
2020-10-19T06:48:34Z,351221,446373,196161,15720,4297,69,200,0,1014041,9359,39172,1062572,1209298
2020-10-19T07:08:34Z,355511,450960,196491,15801,4344,69,200,0,1023376,9421,39469,1072266,1220585
2020-10-19T07:28:34Z,365984,459676,198191,16088,4431,69,200,0,1044639,9556,40108,1094303,1247434
2020-10-19T07:48:34Z,376761,466147,203404,16369,4543,70,204,0,1067498,9772,40988,1118258,1274506
2020-10-19T08:18:34Z,395232,483272,209599,17024,4778,75,206,0,1110186,10154,42563,1162903,1325732
2020-10-19T08:28:34Z,402043,487310,211149,17240,4862,78,206,0,1122888,10249,43071,1176208,1342173
2020-10-19T08:48:34Z,412269,495132,215211,17537,5007,80,207,0,1145443,10444,43892,1199779,1371191
2020-10-19T09:18:34Z,434254,519281,222073,18399,5267,82,210,0,1199566,10843,45581,1255990,1434671
2020-10-19T09:28:34Z,445092,529477,223973,18712,5352,83,210,0,1222899,11074,46416,1280389,1461805
2020-10-19T09:48:34Z,465232,550342,225705,19449,5611,85,210,0,1266634,11514,47924,1326072,1513043
2020-10-19T10:18:34Z,490423,565582,230689,20315,5861,89,329,0,1313288,12171,49641,1375100,1568322
2020-10-19T10:38:34Z,511133,579862,236246,20920,6017,92,408,0,1354678,12533,50939,1418150,1617295
2020-10-19T10:48:34Z,517943,585000,237524,21104,6088,92,408,0,1368159,12662,51288,1432109,1633512
2020-10-19T11:08:34Z,541999,597704,244037,21916,6345,98,408,0,1412507,13238,52827,1478572,1688822
2020-10-19T11:28:34Z,556012,605978,248917,22385,6512,98,408,0,1440310,13695,53843,1507848,1721705
2020-10-19T11:48:34Z,575679,617246,261347,23111,6731,101,412,0,1484627,14493,55791,1554911,1776037
2020-10-19T12:18:34Z,601114,632455,289543,23938,6928,106,415,0,1554499,15229,58621,1628349,1859821
2020-10-19T12:38:34Z,623910,647319,305437,24752,7149,112,415,0,1609094,15936,60966,1685996,1924701
2020-10-19T12:48:35Z,631730,654132,309625,25028,7242,113,415,0,1628285,16183,61601,1706069,1947297
2020-10-19T13:08:34Z,653271,669796,322596,25799,7435,116,424,0,1679437,16824,63508,1759769,2007829
2020-10-19T13:28:34Z,670807,680562,329960,26381,7612,127,432,0,1715881,17280,64841,1798002,2051767
2020-10-19T13:48:34Z,684831,687395,335266,26798,7757,132,524,0,1742703,17669,65934,1826306,2084965
2020-10-19T14:18:35Z,711391,704002,349996,27639,8012,141,527,0,1801708,18556,68259,1888523,2155542
2020-10-19T14:28:34Z,723267,710304,352938,28049,8130,143,527,0,1823358,18953,69271,1911582,2181749
2020-10-19T14:48:34Z,742765,720352,357628,28597,8300,143,531,0,1858316,19558,70602,1948476,2223597
2020-10-19T15:08:35Z,764873,731792,363480,29246,8518,147,538,0,1898594,20325,72241,1991160,2271093
2020-10-19T15:28:34Z,779566,739357,369095,29682,8667,153,541,0,1927061,20797,73460,2021318,2305433
2020-10-19T15:48:34Z,805320,754155,379974,30515,8887,159,549,0,1979559,21438,75313,2076310,2366508
2020-10-19T16:08:35Z,826259,766253,386136,31106,9112,159,549,0,2019574,22077,76856,2118507,2414250
2020-10-19T16:28:34Z,847919,775102,390507,31715,9314,161,580,0,2055298,22681,78180,2156159,2456453
2020-10-19T16:48:34Z,866931,785850,397298,32313,9561,164,583,0,2092700,23227,79730,2195657,2500945
2020-10-19T17:08:35Z,884013,795043,406922,32851,9696,168,590,0,2129283,23815,81269,2234367,2544578
2020-10-19T17:28:34Z,904800,806405,415935,33546,9887,172,629,0,2171374,24504,82977,2278855,2594743
2020-10-19T17:48:35Z,922218,814488,424585,34113,10083,175,632,0,2206294,25136,84627,2316057,2636850
2020-10-19T18:48:35Z,1009015,844212,435859,36165,10831,184,637,0,2336903,27411,89690,2454004,2793805
2020-10-19T19:38:35Z,1081904,873326,439192,38050,11544,189,645,0,2444850,29323,93441,2567614,2924702
2020-10-19T19:48:35Z,1097431,877811,440354,38393,11685,190,645,0,2466509,29690,94248,2590447,2950939
2020-10-19T20:18:35Z,1137197,894364,449368,39539,12065,193,649,0,2533375,31043,97038,2661456,3031118
2020-10-19T20:28:35Z,1151591,900683,453481,39926,12182,196,650,0,2558709,31597,98211,2688517,3061739
2020-10-19T20:48:35Z,1181925,914297,458197,40787,12453,202,657,0,2608518,32587,100362,2741467,3121322
2020-10-19T21:08:35Z,1207002,926900,465090,41532,12675,208,664,0,2654071,33422,102328,2789821,3175529
2020-10-19T21:28:35Z,1237877,940503,473787,42484,12943,213,672,0,2708479,34443,104740,2847662,3240524
2020-10-19T21:48:35Z,1270075,956300,481640,43325,13185,219,746,0,2765490,35191,106795,2907476,3307266
2020-10-19T22:18:35Z,1327504,981890,489688,44847,13702,238,760,0,2858629,37135,110557,3006321,3417586
2020-10-19T22:28:35Z,1349468,989434,491707,45485,13886,242,768,0,2890990,37865,111870,3040725,3456421
2020-10-19T22:48:35Z,1387193,1007066,497009,46541,14257,243,770,0,2953079,39036,114339,3106454,3531110
